21	59	69	14	34	42	62	100	18	84	25	50	33	75	78	15	97	99	82	32	20	24	45	58	74	22	79	17	12	90	58	90	83	71	97	52	67	36	19	80	84	15	52	96	26	27	92	97	33	15	9	74	62	82	3	14	59	4	19	60	84	42	24	14	79	83	27	63	73	16	98	57	28	3	77	47	83	88	83	100	69	29	62	81	48	44	44	18	60	98	33	67	21	16	18	53	100	95	100	98
38	77	59	83	93	45	48	30	88	75	61	97	61	43	8	24	6	56	25	64	90	32	67	65	37	90	36	60	56	7	78	40	55	16	82	61	45	4	7	91	39	82	92	55	81	88	85	13	56	20	45	30	12	75	54	86	9	25	38	18	46	70	77	98	58	11	38	22	7	98	79	3	64	99	91	2	10	59	48	70	50	23	11	8	23	100	64	57	59	33	77	60	97	84	91	44	33	15	18	77
99	97	11	56	71	34	41	88	85	14	25	2	57	40	1	48	67	66	83	3	75	70	37	64	63	26	41	44	52	62	4	100	6	91	64	58	94	46	40	88	45	71	90	92	96	61	74	92	1	53	15	27	79	57	37	77	47	99	66	34	27	57	57	56	98	97	41	73	81	17	22	41	17	77	20	36	3	98	23	50	98	70	10	11	29	41	62	55	53	89	65	30	32	69	74	96	87	56	57	14
65	7	75	16	6	82	35	38	99	50	40	98	70	87	53	9	50	42	27	83	65	15	84	8	25	13	5	48	34	94	22	25	2	20	64	70	28	60	85	84	55	44	57	96	74	77	96	48	98	48	43	64	88	14	45	88	32	70	72	6	10	37	6	100	55	5	54	17	78	42	92	87	21	82	25	79	35	79	61	18	78	97	32	94	7	36	78	21	33	67	14	4	15	78	22	94	71	95	64	100
62	46	34	20	63	5	99	35	25	42	90	99	73	88	53	60	94	20	5	20	45	12	79	32	10	88	11	65	61	98	36	13	63	99	25	86	68	89	98	77	76	24	28	49	79	93	14	31	91	5	3	31	20	94	54	49	62	75	53	15	73	33	20	10	61	74	31	58	77	70	75	17	30	28	26	76	97	94	37	37	90	42	32	24	64	30	85	95	2	52	1	59	39	78	94	73	32	53	84	80
14	55	22	72	18	95	60	89	88	41	3	94	59	28	42	48	44	20	87	75	30	22	36	41	13	91	64	73	38	7	97	73	73	90	49	1	95	28	41	84	93	66	42	76	14	53	85	67	77	76	85	96	76	32	92	60	62	77	51	42	77	85	22	7	3	51	19	30	72	53	14	55	48	56	24	76	61	96	29	59	95	53	25	39	89	32	8	80	78	39	84	12	41	99	63	82	45	8	6	45
13	53	2	22	85	52	81	17	72	71	90	40	95	25	53	31	26	33	55	60	22	77	65	26	27	87	31	77	40	7	13	3	8	71	80	49	33	93	48	40	61	5	62	5	55	92	17	93	91	61	43	68	34	8	37	5	20	60	46	33	69	85	80	91	30	89	80	96	71	35	90	95	81	80	19	37	17	44	61	81	15	57	29	72	23	58	84	92	34	33	82	87	69	69	77	21	53	3	60	77
56	51	24	66	2	25	77	14	28	15	74	80	39	34	92	30	86	89	89	12	36	9	74	11	42	46	90	54	5	86	80	30	62	3	59	63	40	51	34	12	53	65	84	82	4	73	17	2	85	23	12	43	8	58	80	78	70	27	3	6	2	99	55	83	56	13	79	70	64	43	53	72	71	12	24	9	90	57	16	38	50	49	36	26	7	24	40	33	32	17	15	90	57	18	20	83	7	50	88	18
29	23	79	10	58	80	40	42	69	17	57	7	59	94	24	26	91	16	8	40	17	55	6	41	73	41	49	24	32	95	26	100	97	33	41	49	95	98	8	44	96	37	18	32	63	100	33	49	60	88	69	75	15	89	52	84	61	72	49	75	52	24	86	83	15	62	52	91	44	75	25	31	98	97	21	24	83	51	61	50	72	96	49	1	65	29	6	48	73	94	48	64	21	88	21	83	94	55	94	57
26	2	52	33	15	5	53	6	15	7	45	2	38	68	10	67	44	12	39	88	9	61	65	8	42	82	51	48	35	98	43	45	95	86	51	31	46	43	27	71	14	70	70	10	15	85	52	39	31	97	36	56	43	79	41	26	74	3	96	81	7	74	39	90	44	21	45	12	43	17	40	71	74	37	88	25	34	79	67	8	37	59	67	98	45	43	91	78	80	1	84	52	61	72	5	1	82	98	44	63
